mass_A
t	x	y	v
0.8800000000000004	1.275346492205975	0.512469802800565	0.89258626134706
0.89	1.2798718056579395	0.5197331570380349	0.8142354981351005
0.9000000000000005	1.2837855207811912	0.526397278353443	0.7488683446100591
0.91	1.2873231365797948	0.532725431146774	0.6991480139713452
0.9200000000000005	1.29072001987885	0.5385395969310707	0.623607379715878
0.93	1.2935214749182011	0.5435483266677094	0.557581560575646
0.9400000000000005	1.2963155641519295	0.5481857756027312	0.49784729150933366
0.95	1.298810782547873	0.5519842021447401	0.4235070786127141
0.9600000000000004	1.3008754903764743	0.5553237284661745	0.36253510179539583
0.97	1.3026848870806331	0.558113149369408	0.2828667341446387
0.9800000000000004	1.303960290073281	0.5600660323941026	0.2164436244156071
0.99	1.3048916541943643	0.561837302417528	0.16708699417913853
